productId,title,description,price,discount
130,Product 130,Description for product 130,797.28,30.36
131,Product 131,Description for product 131,11.1,46.12
132,Product 132,Description for product 132,780.0,45.72
133,Product 133,Description for product 133,546.22,31.54
134,Product 134,Description for product 134,729.85,41.14
135,Product 135,Description for product 135,317.36,9.41
136,Product 136,Description for product 136,634.58,0.49
137,Product 137,Description for product 137,355.92,11.86
138,Product 138,Description for product 138,874.31,18.06
139,Product 139,Description for product 139,589.1,45.39
140,Product 140,Description for product 140,533.43,8.94
141,Product 141,Description for product 141,623.18,42.82
142,Product 142,Description for product 142,699.08,23.0
143,Product 143,Description for product 143,76.46,20.58
144,Product 144,Description for product 144,485.09,11.96
145,Product 145,Description for product 145,281.33,2.71
146,Product 146,Description for product 146,753.29,37.68
147,Product 147,Description for product 147,883.07,7.8
148,Product 148,Description for product 148,835.72,29.07
149,Product 149,Description for product 149,998.34,36.9
150,Product 150,Description for product 150,439.01,38.37
151,Product 151,Description for product 151,600.87,17.67
152,Product 152,Description for product 152,667.28,28.95
153,Product 153,Description for product 153,511.53,30.74
154,Product 154,Description for product 154,808.14,8.17
155,Product 155,Description for product 155,494.25,43.01
156,Product 156,Description for product 156,552.97,44.58
157,Product 157,Description for product 157,609.33,47.59
158,Product 158,Description for product 158,222.66,5.27
159,Product 159,Description for product 159,810.47,9.09
160,Product 160,Description for product 160,33.3,46.82
161,Product 161,Description for product 161,566.02,3.23
162,Product 162,Description for product 162,952.89,44.4
163,Product 163,Description for product 163,346.63,48.27
164,Product 164,Description for product 164,229.11,7.44
165,Product 165,Description for product 165,535.43,7.58
166,Product 166,Description for product 166,344.94,49.79
167,Product 167,Description for product 167,394.99,22.93
168,Product 168,Description for product 168,778.36,41.82
169,Product 169,Description for product 169,218.85,40.63
170,Product 170,Description for product 170,629.2,41.9
171,Product 171,Description for product 171,407.47,37.29
172,Product 172,Description for product 172,771.81,30.74
173,Product 173,Description for product 173,508.09,34.92
174,Product 174,Description for product 174,210.4,48.86
175,Product 175,Description for product 175,958.2,38.35
176,Product 176,Description for product 176,204.02,13.37
177,Product 177,Description for product 177,577.38,13.7
178,Product 178,Description for product 178,415.36,29.34
179,Product 179,Description for product 179,916.74,8.95
180,Product 180,Description for product 180,12.03,20.29
181,Product 181,Description for product 181,660.83,27.65
182,Product 182,Description for product 182,850.73,29.7
183,Product 183,Description for product 183,864.17,17.66
184,Product 184,Description for product 184,966.05,36.97
185,Product 185,Description for product 185,303.57,32.32
186,Product 186,Description for product 186,11.23,10.86
187,Product 187,Description for product 187,293.5,38.21
188,Product 188,Description for product 188,681.64,17.61
189,Product 189,Description for product 189,498.97,43.1
190,Product 190,Description for product 190,455.49,11.87
191,Product 191,Description for product 191,975.05,10.45
192,Product 192,Description for product 192,386.6,48.81
193,Product 193,Description for product 193,597.16,47.91
194,Product 194,Description for product 194,872.0,12.33
195,Product 195,Description for product 195,234.07,5.3
196,Product 196,Description for product 196,376.86,27.23
197,Product 197,Description for product 197,340.83,6.8
198,Product 198,Description for product 198,867.76,1.2
199,Product 199,Description for product 199,981.51,42.24
200,Product 200,Description for product 200,906.74,33.82
201,Product 201,Description for product 201,118.48,20.9
202,Product 202,Description for product 202,973.9,35.68
203,Product 203,Description for product 203,949.22,39.64
204,Product 204,Description for product 204,96.23,4.93
205,Product 205,Description for product 205,342.31,36.6
206,Product 206,Description for product 206,253.17,24.38
207,Product 207,Description for product 207,967.12,5.96
208,Product 208,Description for product 208,330.22,20.5
209,Product 209,Description for product 209,248.41,37.01
210,Product 210,Description for product 210,420.09,35.75
211,Product 211,Description for product 211,289.72,46.21
212,Product 212,Description for product 212,456.79,19.44
213,Product 213,Description for product 213,973.32,6.34
214,Product 214,Description for product 214,585.22,7.55
215,Product 215,Description for product 215,883.52,22.4
216,Product 216,Description for product 216,486.96,6.8
217,Product 217,Description for product 217,204.57,26.22
218,Product 218,Description for product 218,639.97,8.11
219,Product 219,Description for product 219,219.41,38.13
220,Product 220,Description for product 220,820.65,40.35
221,Product 221,Description for product 221,55.67,42.36
222,Product 222,Description for product 222,268.93,21.13
223,Product 223,Description for product 223,543.57,11.27
224,Product 224,Description for product 224,85.08,26.89
225,Product 225,Description for product 225,358.7,44.38
226,Product 226,Description for product 226,483.64,27.1
227,Product 227,Description for product 227,24.01,19.68
228,Product 228,Description for product 228,455.54,23.2
229,Product 229,Description for product 229,124.76,32.61
230,Product 230,Description for product 230,268.39,14.47
231,Product 231,Description for product 231,338.41,24.67
232,Product 232,Description for product 232,368.39,15.65
233,Product 233,Description for product 233,283.94,39.12
234,Product 234,Description for product 234,12.03,12.2
235,Product 235,Description for product 235,550.43,0.54
236,Product 236,Description for product 236,541.35,16.75
237,Product 237,Description for product 237,10.88,33.84
238,Product 238,Description for product 238,212.59,48.0
239,Product 239,Description for product 239,203.73,5.18
240,Product 240,Description for product 240,811.5,7.97
241,Product 241,Description for product 241,735.69,18.27
242,Product 242,Description for product 242,431.77,43.21
243,Product 243,Description for product 243,138.47,26.67
244,Product 244,Description for product 244,615.88,43.7
245,Product 245,Description for product 245,249.37,32.77
246,Product 246,Description for product 246,936.29,24.32
247,Product 247,Description for product 247,902.73,3.46
248,Product 248,Description for product 248,325.35,46.23
249,Product 249,Description for product 249,871.48,39.52
250,Product 250,Description for product 250,549.31,35.34
251,Product 251,Description for product 251,778.19,36.21
252,Product 252,Description for product 252,418.4,22.83
253,Product 253,Description for product 253,685.64,14.02
254,Product 254,Description for product 254,556.49,1.64
255,Product 255,Description for product 255,118.93,2.07
256,Product 256,Description for product 256,202.37,23.96
257,Product 257,Description for product 257,880.15,43.1
258,Product 258,Description for product 258,988.24,47.32
259,Product 259,Description for product 259,595.88,48.55
260,Product 260,Description for product 260,555.46,34.66
261,Product 261,Description for product 261,976.54,23.32
262,Product 262,Description for product 262,726.16,19.33
263,Product 263,Description for product 263,838.37,46.41
264,Product 264,Description for product 264,31.41,42.36
265,Product 265,Description for product 265,264.37,8.74
266,Product 266,Description for product 266,716.29,30.8
267,Product 267,Description for product 267,907.78,29.76
268,Product 268,Description for product 268,743.41,2.07
269,Product 269,Description for product 269,371.79,3.57
270,Product 270,Description for product 270,618.47,47.59
271,Product 271,Description for product 271,447.54,4.49
272,Product 272,Description for product 272,74.99,36.0
273,Product 273,Description for product 273,384.12,7.34
274,Product 274,Description for product 274,901.14,11.24
275,Product 275,Description for product 275,76.99,11.32
276,Product 276,Description for product 276,948.12,26.19
277,Product 277,Description for product 277,574.67,18.11
278,Product 278,Description for product 278,327.18,6.84
279,Product 279,Description for product 279,618.55,7.42
280,Product 280,Description for product 280,631.08,4.66
281,Product 281,Description for product 281,595.95,36.78
282,Product 282,Description for product 282,37.63,40.79
283,Product 283,Description for product 283,445.25,29.28
284,Product 284,Description for product 284,954.03,17.99
285,Product 285,Description for product 285,516.21,18.9
286,Product 286,Description for product 286,220.53,6.24
287,Product 287,Description for product 287,891.72,32.3
288,Product 288,Description for product 288,872.39,15.62
289,Product 289,Description for product 289,872.38,40.07
290,Product 290,Description for product 290,460.08,3.69
291,Product 291,Description for product 291,959.61,25.84
292,Product 292,Description for product 292,753.53,10.13
293,Product 293,Description for product 293,700.69,20.18
294,Product 294,Description for product 294,339.45,30.63
295,Product 295,Description for product 295,31.14,32.78
296,Product 296,Description for product 296,139.36,37.56
297,Product 297,Description for product 297,95.09,9.88
298,Product 298,Description for product 298,110.28,36.82
299,Product 299,Description for product 299,295.31,15.56
300,Product 300,Description for product 300,257.35,47.35
301,Product 301,Description for product 301,531.39,7.37
302,Product 302,Description for product 302,244.39,44.58
303,Product 303,Description for product 303,126.5,2.64
304,Product 304,Description for product 304,306.62,13.0
305,Product 305,Description for product 305,555.72,2.23
306,Product 306,Description for product 306,954.95,40.27
307,Product 307,Description for product 307,95.34,10.9
308,Product 308,Description for product 308,497.24,31.59
309,Product 309,Description for product 309,960.23,49.44
310,Product 310,Description for product 310,261.23,40.12
311,Product 311,Description for product 311,527.36,8.16
312,Product 312,Description for product 312,617.5,49.33
313,Product 313,Description for product 313,46.45,42.81
314,Product 314,Description for product 314,977.2,31.83
315,Product 315,Description for product 315,876.72,39.28
316,Product 316,Description for product 316,570.13,19.38
317,Product 317,Description for product 317,336.1,42.24
318,Product 318,Description for product 318,542.33,18.66
319,Product 319,Description for product 319,661.77,29.06
320,Product 320,Description for product 320,225.58,38.54
321,Product 321,Description for product 321,516.03,47.89
322,Product 322,Description for product 322,788.18,45.37
323,Product 323,Description for product 323,588.53,16.42
324,Product 324,Description for product 324,261.03,19.2
325,Product 325,Description for product 325,906.23,29.67
326,Product 326,Description for product 326,124.92,8.78
327,Product 327,Description for product 327,563.35,25.68
328,Product 328,Description for product 328,269.89,28.84
329,Product 329,Description for product 329,362.79,38.5
330,Product 330,Description for product 330,299.51,8.57
331,Product 331,Description for product 331,136.92,37.85
332,Product 332,Description for product 332,510.15,11.4
333,Product 333,Description for product 333,388.71,23.87
334,Product 334,Description for product 334,910.31,20.19
335,Product 335,Description for product 335,339.75,36.02
336,Product 336,Description for product 336,964.87,17.74
337,Product 337,Description for product 337,98.52,42.45
338,Product 338,Description for product 338,905.18,46.95
339,Product 339,Description for product 339,352.65,3.94
340,Product 340,Description for product 340,570.67,21.88
341,Product 341,Description for product 341,224.87,5.23
342,Product 342,Description for product 342,607.36,0.96
343,Product 343,Description for product 343,335.96,16.08
344,Product 344,Description for product 344,897.24,31.48
345,Product 345,Description for product 345,723.86,9.12
346,Product 346,Description for product 346,578.6,47.77
347,Product 347,Description for product 347,56.5,22.81
348,Product 348,Description for product 348,874.61,30.37
349,Product 349,Description for product 349,217.77,33.99
350,Product 350,Description for product 350,784.1,38.23
351,Product 351,Description for product 351,272.9,13.37
352,Product 352,Description for product 352,870.86,2.58
353,Product 353,Description for product 353,780.97,39.4
354,Product 354,Description for product 354,819.15,14.92
355,Product 355,Description for product 355,398.0,40.12
356,Product 356,Description for product 356,863.78,22.17
357,Product 357,Description for product 357,728.51,47.33
358,Product 358,Description for product 358,656.84,42.17
359,Product 359,Description for product 359,178.65,38.19
360,Product 360,Description for product 360,290.64,15.76
361,Product 361,Description for product 361,762.26,48.34
362,Product 362,Description for product 362,155.57,41.91
363,Product 363,Description for product 363,870.65,26.55
364,Product 364,Description for product 364,336.24,31.75
365,Product 365,Description for product 365,301.96,11.29
366,Product 366,Description for product 366,899.53,19.74
367,Product 367,Description for product 367,77.6,35.02
368,Product 368,Description for product 368,473.63,24.73
369,Product 369,Description for product 369,442.06,48.97
370,Product 370,Description for product 370,70.33,35.24
371,Product 371,Description for product 371,42.21,7.15
372,Product 372,Description for product 372,790.65,34.04
373,Product 373,Description for product 373,492.85,4.71
374,Product 374,Description for product 374,916.05,15.02
375,Product 375,Description for product 375,939.76,32.12
376,Product 376,Description for product 376,113.59,43.56
377,Product 377,Description for product 377,86.45,10.47
378,Product 378,Description for product 378,442.07,47.83
379,Product 379,Description for product 379,895.5,9.7
380,Product 380,Description for product 380,536.38,29.35
381,Product 381,Description for product 381,939.37,27.67
382,Product 382,Description for product 382,61.65,28.89
383,Product 383,Description for product 383,650.8,13.39
384,Product 384,Description for product 384,57.18,12.34
385,Product 385,Description for product 385,959.98,47.46
386,Product 386,Description for product 386,135.92,16.98
387,Product 387,Description for product 387,805.27,44.98
388,Product 388,Description for product 388,446.2,46.18
389,Product 389,Description for product 389,786.67,23.27
390,Product 390,Description for product 390,511.01,43.53
391,Product 391,Description for product 391,386.36,30.68
392,Product 392,Description for product 392,175.92,0.74
393,Product 393,Description for product 393,99.73,28.31
394,Product 394,Description for product 394,789.51,36.36
395,Product 395,Description for product 395,992.35,27.33
396,Product 396,Description for product 396,547.38,15.48
397,Product 397,Description for product 397,114.97,44.53
398,Product 398,Description for product 398,38.18,16.95
399,Product 399,Description for product 399,501.63,7.87
400,Product 400,Description for product 400,752.29,47.48
401,Product 401,Description for product 401,770.57,13.66
402,Product 402,Description for product 402,409.77,24.6
403,Product 403,Description for product 403,823.4,37.04
404,Product 404,Description for product 404,701.64,38.96
405,Product 405,Description for product 405,915.31,28.28
406,Product 406,Description for product 406,258.43,43.26
407,Product 407,Description for product 407,910.23,44.4
408,Product 408,Description for product 408,809.97,17.89
409,Product 409,Description for product 409,416.11,10.04
410,Product 410,Description for product 410,468.18,48.26
411,Product 411,Description for product 411,715.03,36.23
412,Product 412,Description for product 412,396.52,22.99
413,Product 413,Description for product 413,472.57,2.98
414,Product 414,Description for product 414,519.37,29.32
415,Product 415,Description for product 415,457.04,11.91
416,Product 416,Description for product 416,40.66,43.96
417,Product 417,Description for product 417,567.8,0.3
418,Product 418,Description for product 418,953.63,12.16
419,Product 419,Description for product 419,538.07,47.94
420,Product 420,Description for product 420,277.23,13.51
421,Product 421,Description for product 421,281.52,29.8
422,Product 422,Description for product 422,742.31,39.22
423,Product 423,Description for product 423,515.14,9.31
424,Product 424,Description for product 424,702.52,1.16
425,Product 425,Description for product 425,28.44,6.82
426,Product 426,Description for product 426,180.75,36.49
427,Product 427,Description for product 427,465.88,29.65
428,Product 428,Description for product 428,536.76,40.98
429,Product 429,Description for product 429,402.71,10.56
430,Product 430,Description for product 430,119.69,35.25
431,Product 431,Description for product 431,97.92,18.81
432,Product 432,Description for product 432,720.52,13.47
433,Product 433,Description for product 433,12.68,10.22
434,Product 434,Description for product 434,356.61,39.18
435,Product 435,Description for product 435,759.72,13.5
436,Product 436,Description for product 436,241.0,36.06
437,Product 437,Description for product 437,313.94,39.06
438,Product 438,Description for product 438,614.92,8.64
439,Product 439,Description for product 439,20.14,1.09
440,Product 440,Description for product 440,313.13,26.21
441,Product 441,Description for product 441,435.63,24.95
442,Product 442,Description for product 442,812.12,47.63
443,Product 443,Description for product 443,256.47,23.94
444,Product 444,Description for product 444,99.63,7.2
445,Product 445,Description for product 445,30.97,18.81
446,Product 446,Description for product 446,77.27,4.34
447,Product 447,Description for product 447,240.51,25.63
448,Product 448,Description for product 448,445.23,38.5
449,Product 449,Description for product 449,200.82,15.18
450,Product 450,Description for product 450,41.52,42.94
451,Product 451,Description for product 451,265.37,49.99
452,Product 452,Description for product 452,42.61,6.06
453,Product 453,Description for product 453,114.65,42.86
454,Product 454,Description for product 454,636.6,32.23
455,Product 455,Description for product 455,254.34,24.14
456,Product 456,Description for product 456,125.94,35.79
457,Product 457,Description for product 457,522.47,29.53
458,Product 458,Description for product 458,67.74,17.62
459,Product 459,Description for product 459,439.79,48.21
460,Product 460,Description for product 460,564.87,12.58
461,Product 461,Description for product 461,946.29,27.02
462,Product 462,Description for product 462,561.61,38.47
463,Product 463,Description for product 463,347.59,18.15
464,Product 464,Description for product 464,987.43,38.82
465,Product 465,Description for product 465,129.21,16.92
466,Product 466,Description for product 466,795.79,37.1
467,Product 467,Description for product 467,394.49,4.86
468,Product 468,Description for product 468,844.46,45.18
469,Product 469,Description for product 469,609.88,47.96
470,Product 470,Description for product 470,439.41,15.98
471,Product 471,Description for product 471,863.78,36.63
472,Product 472,Description for product 472,140.4,25.89
473,Product 473,Description for product 473,56.56,36.68
474,Product 474,Description for product 474,143.13,43.31
475,Product 475,Description for product 475,162.97,2.33
476,Product 476,Description for product 476,171.06,44.78
477,Product 477,Description for product 477,147.86,35.08
478,Product 478,Description for product 478,882.52,22.17
479,Product 479,Description for product 479,644.63,13.46
480,Product 480,Description for product 480,54.37,47.03
481,Product 481,Description for product 481,112.86,37.96
482,Product 482,Description for product 482,292.74,28.39
483,Product 483,Description for product 483,347.25,2.09
484,Product 484,Description for product 484,937.87,31.23
485,Product 485,Description for product 485,236.75,1.91
486,Product 486,Description for product 486,276.11,16.04
487,Product 487,Description for product 487,89.08,39.92
488,Product 488,Description for product 488,544.73,13.82
489,Product 489,Description for product 489,787.27,12.62
490,Product 490,Description for product 490,314.6,7.02
491,Product 491,Description for product 491,420.82,7.18
492,Product 492,Description for product 492,108.08,39.92
493,Product 493,Description for product 493,434.38,2.64
494,Product 494,Description for product 494,92.8,30.99
495,Product 495,Description for product 495,527.05,33.43
496,Product 496,Description for product 496,507.93,35.71
497,Product 497,Description for product 497,201.5,26.4
498,Product 498,Description for product 498,392.99,4.9
499,Product 499,Description for product 499,395.49,14.56
500,Product 500,Description for product 500,919.85,41.44
501,Product 501,Description for product 501,918.2,20.67
502,Product 502,Description for product 502,660.58,11.51
503,Product 503,Description for product 503,165.97,6.58
504,Product 504,Description for product 504,631.03,10.05
505,Product 505,Description for product 505,222.99,40.2
506,Product 506,Description for product 506,624.18,14.17
507,Product 507,Description for product 507,155.68,8.25
508,Product 508,Description for product 508,882.5,27.13
509,Product 509,Description for product 509,965.51,46.53
510,Product 510,Description for product 510,956.41,24.44
511,Product 511,Description for product 511,57.31,46.28
512,Product 512,Description for product 512,588.73,16.38
513,Product 513,Description for product 513,494.58,0.06
514,Product 514,Description for product 514,986.16,7.56
515,Product 515,Description for product 515,605.05,2.88
516,Product 516,Description for product 516,176.25,28.64
517,Product 517,Description for product 517,183.35,30.23
518,Product 518,Description for product 518,587.99,31.5
519,Product 519,Description for product 519,566.42,30.23
520,Product 520,Description for product 520,802.68,47.72
521,Product 521,Description for product 521,685.46,11.6
522,Product 522,Description for product 522,686.83,21.06
523,Product 523,Description for product 523,300.86,43.04
524,Product 524,Description for product 524,989.49,19.76
525,Product 525,Description for product 525,471.07,3.88
526,Product 526,Description for product 526,995.29,23.3
527,Product 527,Description for product 527,75.91,37.02
528,Product 528,Description for product 528,387.49,7.37
529,Product 529,Description for product 529,431.3,42.44
530,Product 530,Description for product 530,471.41,18.96
531,Product 531,Description for product 531,889.5,10.41
532,Product 532,Description for product 532,228.76,45.13
533,Product 533,Description for product 533,206.76,4.74
534,Product 534,Description for product 534,665.44,4.66
535,Product 535,Description for product 535,167.06,47.03
536,Product 536,Description for product 536,30.26,4.44
537,Product 537,Description for product 537,269.59,21.55
538,Product 538,Description for product 538,697.33,8.21
539,Product 539,Description for product 539,38.15,22.23
540,Product 540,Description for product 540,454.85,17.91
541,Product 541,Description for product 541,878.35,3.63
542,Product 542,Description for product 542,326.98,2.14
543,Product 543,Description for product 543,23.76,1.87
544,Product 544,Description for product 544,389.77,14.66
545,Product 545,Description for product 545,438.15,33.68
546,Product 546,Description for product 546,312.29,9.96
547,Product 547,Description for product 547,376.69,25.5
548,Product 548,Description for product 548,223.43,37.73
549,Product 549,Description for product 549,19.85,15.62
550,Product 550,Description for product 550,783.73,34.08
551,Product 551,Description for product 551,843.84,38.6
552,Product 552,Description for product 552,479.41,25.63
553,Product 553,Description for product 553,437.86,35.33
554,Product 554,Description for product 554,584.14,21.84
555,Product 555,Description for product 555,199.57,15.32
556,Product 556,Description for product 556,360.14,7.04
557,Product 557,Description for product 557,645.19,4.99
558,Product 558,Description for product 558,445.14,12.63
559,Product 559,Description for product 559,945.87,32.5
560,Product 560,Description for product 560,473.41,15.69
561,Product 561,Description for product 561,348.39,41.35
562,Product 562,Description for product 562,771.01,7.13
563,Product 563,Description for product 563,939.6,40.1
564,Product 564,Description for product 564,938.13,13.02
565,Product 565,Description for product 565,669.28,26.95
566,Product 566,Description for product 566,43.28,31.41
567,Product 567,Description for product 567,284.51,37.0
568,Product 568,Description for product 568,270.17,9.81
569,Product 569,Description for product 569,972.63,36.72
570,Product 570,Description for product 570,311.76,14.51
571,Product 571,Description for product 571,467.0,35.4
572,Product 572,Description for product 572,327.55,13.77
573,Product 573,Description for product 573,438.77,24.02
574,Product 574,Description for product 574,409.51,45.91
575,Product 575,Description for product 575,675.66,14.42
576,Product 576,Description for product 576,609.47,17.03
577,Product 577,Description for product 577,341.24,38.23
578,Product 578,Description for product 578,337.49,12.8
579,Product 579,Description for product 579,851.75,2.94
580,Product 580,Description for product 580,509.73,47.54
581,Product 581,Description for product 581,266.36,41.07
582,Product 582,Description for product 582,926.57,4.29
583,Product 583,Description for product 583,975.13,49.01
584,Product 584,Description for product 584,955.97,16.91
585,Product 585,Description for product 585,676.74,5.7
586,Product 586,Description for product 586,507.44,16.6
587,Product 587,Description for product 587,780.29,20.97
588,Product 588,Description for product 588,576.7,28.35
589,Product 589,Description for product 589,910.23,46.25
590,Product 590,Description for product 590,533.85,12.11
591,Product 591,Description for product 591,323.91,1.98
592,Product 592,Description for product 592,400.9,23.21
593,Product 593,Description for product 593,21.59,49.7
594,Product 594,Description for product 594,463.73,25.29
595,Product 595,Description for product 595,783.34,17.31
596,Product 596,Description for product 596,774.61,40.88
597,Product 597,Description for product 597,279.81,9.72
598,Product 598,Description for product 598,130.54,20.09
599,Product 599,Description for product 599,350.46,23.61
600,Product 600,Description for product 600,160.35,46.27
601,Product 601,Description for product 601,247.12,29.57
602,Product 602,Description for product 602,498.69,35.46
603,Product 603,Description for product 603,829.25,28.35
604,Product 604,Description for product 604,349.24,19.39
605,Product 605,Description for product 605,670.02,38.86
606,Product 606,Description for product 606,322.63,35.9
607,Product 607,Description for product 607,105.31,49.09
608,Product 608,Description for product 608,414.2,1.86
609,Product 609,Description for product 609,42.09,8.77
610,Product 610,Description for product 610,648.24,43.35
611,Product 611,Description for product 611,660.41,36.27
612,Product 612,Description for product 612,380.66,23.53
613,Product 613,Description for product 613,601.62,26.6
614,Product 614,Description for product 614,93.34,28.7
615,Product 615,Description for product 615,687.79,32.27
616,Product 616,Description for product 616,38.6,6.53
617,Product 617,Description for product 617,224.91,16.3
618,Product 618,Description for product 618,238.4,1.01
619,Product 619,Description for product 619,870.03,28.13
620,Product 620,Description for product 620,980.41,25.98
621,Product 621,Description for product 621,29.39,36.16
622,Product 622,Description for product 622,389.54,22.75
623,Product 623,Description for product 623,774.96,39.28
624,Product 624,Description for product 624,533.69,25.71
625,Product 625,Description for product 625,380.07,40.62
626,Product 626,Description for product 626,482.58,40.68
627,Product 627,Description for product 627,711.25,48.44
628,Product 628,Description for product 628,901.61,20.06
629,Product 629,Description for product 629,74.13,21.18
630,Product 630,Description for product 630,26.77,43.4
631,Product 631,Description for product 631,565.34,46.42
632,Product 632,Description for product 632,50.26,14.4
633,Product 633,Description for product 633,753.92,17.66
634,Product 634,Description for product 634,209.69,9.29
635,Product 635,Description for product 635,934.06,22.81
